3,1,810,276,29,58,-1,11,0
3,2,767,277,24,58,-1,11,0
3,3,686,254,19,51,-1,11,0
3,4,52,359,23,48,-1,11,0
3,5,249,275,19,46,-1,11,0
3,6,726,251,14,37,-1,11,0
3,7,0,337,17,110,-1,11,0
4,1,813,276,31,60,-1,11,0
4,2,772,277,23,60,-1,11,0
4,3,689,253,19,51,-1,11,0
4,4,47,361,22,48,-1,11,0
4,5,249,274,19,47,-1,11,0
4,6,728,248,14,40,-1,11,0
4,7,0,341,12,96,-1,11,0
4,8,268,275,18,45,-1,11,0
4,9,748,255,13,38,-1,11,0
5,1,817,281,30,60,-1,11,0
5,2,774,281,25,60,-1,11,0
5,3,691,256,18,50,-1,11,0
5,4,41,360,20,49,-1,11,0
5,5,248,272,19,48,-1,11,0
5,6,729,250,14,41,-1,11,0
5,7,0,344,10,92,-1,11,0
5,8,268,273,19,45,-1,11,0
6,1,821,286,30,61,-1,11,0
6,2,778,286,26,60,-1,11,0
6,3,693,261,18,50,-1,11,0
6,4,33,364,20,51,-1,11,0
6,5,248,275,18,49,-1,11,0
6,6,732,255,13,40,-1,11,0
6,8,268,279,17,43,-1,11,0
6,9,754,263,11,38,-1,11,0
7,1,824,286,31,63,-1,11,0
7,2,781,285,27,63,-1,11,0
7,3,695,260,17,50,-1,11,0
7,4,26,366,20,54,-1,11,0
7,5,248,274,18,49,-1,11,0
7,6,733,254,14,40,-1,11,0
7,8,267,279,18,43,-1,11,0
7,9,756,262,11,39,-1,11,0
8,1,828,290,32,63,-1,11,0
8,2,785,289,27,62,-1,11,0
8,3,696,263,17,50,-1,11,0
8,4,17,370,24,55,-1,11,0
8,5,247,276,17,49,-1,11,0
8,6,734,257,15,40,-1,11,0
8,8,267,280,18,45,-1,11,0
8,9,757,265,13,39,-1,11,0
8,13,114,305,22,72,-1,11,0
9,1,831,294,33,62,-1,11,0
9,2,789,292,25,63,-1,11,0
9,3,698,265,17,50,-1,11,0
9,4,8,371,24,55,-1,11,0
9,5,246,276,17,48,-1,11,0
9,6,737,258,13,41,-1,11,0
9,8,266,278,20,47,-1,11,0
9,9,758,267,13,39,-1,11,0
9,13,110,301,21,77,-1,11,0
10,1,834,300,33,63,-1,11,0
10,2,791,298,25,63,-1,11,0
10,3,699,269,16,50,-1,11,0
10,4,0,367,24,57,-1,11,0
10,5,244,273,18,49,-1,11,0
10,6,738,263,15,41,-1,11,0
10,8,265,277,18,46,-1,11,0
10,9,758,272,15,38,-1,11,0
10,13,103,298,23,77,-1,11,0
11,1,837,296,33,64,-1,11,0
11,2,794,296,25,63,-1,11,0
11,3,700,266,17,51,-1,11,0
11,4,0,374,17,57,-1,11,0
11,5,243,275,18,49,-1,11,0
11,6,739,260,15,41,-1,11,0
11,8,264,279,18,46,-1,11,0
11,9,760,269,14,38,-1,11,0
11,13,100,301,22,80,-1,11,0
11,16,338,264,13,35,-1,11,0
12,1,842,295,32,65,-1,11,0
